gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c10243_g0	0	0.11	0.29	0	0.11	0.13	0	0.29
StHeBC4_c10245_g0	0.06	0.13	0.07	0.82	0.42	0.54	54.14	11.49
StHeBC4_c10246_g0	0.04	0.47	0.3	0.35	0.14	0.2	1.75	12.81
StHeBC4_c10247_g0	0	0.09	0.04	0.06	0	0.17	1.91	91.57
StHeBC4_c10248_g0	0	0	0	0	0	0	0	0
StHeBC4_c10249_g0	0.2	0	0.17	0.16	0.12	0.15	0	0
StHeBC4_c10250_g0	0	0	0	0	0	0	0	0.39
StHeBC4_c10250_g1	0	0	0.09	0	0	0	0.05	0.19
StHeBC4_c10251_g0	0	0.22	0.08	0.47	0.22	0.17	0	0.75
StHeBC4_c10252_g0	0	0	0	0	0	0	0	0.04
StHeBC4_c10253_g0	0	0	0	0.12	0	0.24	0.1	0
StHeBC4_c10254_g0	0.05	2.16	0.42	2.45	8.6	0.4	0.29	2.35
StHeBC4_c10255_g0	0.56	0.31	0.16	1	0.42	0.13	0.41	0.16
StHeBC4_c10256_g0	0.1	0	0	0	0	0	0.06	1.69
StHeBC4_c10257_g0	7.81	9.26	8.26	1.22	0.52	0.44	0	0.05
StHeBC4_c10257_g1	0.22	4.36	4.63	0.66	0.74	0.06	0	0
StHeBC4_c10257_g2	0	1.93	2.43	0.37	0.03	0.07	0	0
StHeBC4_c10262_g0	0	1.2	4.8	0	0.1	0.13	0	0.1
StHeBC4_c10267_g0	0	0	0	0	0	0	0	0.59
StHeBC4_c10270_g0	0	0	0	0	0.11	0.12	0	0
StHeBC4_c10271_g0	0.06	0.06	0.12	2.38	4.95	2.74	5.8	11.04
StHeBC4_c10272_g0	0.28	0.44	0.21	0.41	0.46	0	0.44	33.38
StHeBC4_c10274_g0	0.02	0.25	0.67	10.94	15.08	8.11	0.02	0.55
StHeBC4_c10274_g1	0	0	0	0	0	0	0	0
StHeBC4_c10275_g0	0	1.08	0.35	1.02	0.87	0.15	0	0
StHeBC4_c10276_g0	0.28	0	0.05	0.31	0.02	0.24	0.43	9.64
StHeBC4_c10280_g0	0	0.15	0.15	0	0.17	0	0.43	0
StHeBC4_c10281_g0	0.1	0.16	0.49	0.7	0.78	0.54	1.87	1.55
StHeBC4_c10282_g0	0.3	0.08	0	0.08	0.08	0.1	0.08	0.25
StHeBC4_c10283_g0	0.03	0.43	1.38	2.16	2.48	10.67	24.74	5.49
StHeBC4_c10287_g0	0.23	0.28	0	0	0	0	0.12	3.57
StHeBC4_c10289_g0	0.36	0.13	0	0	0	0	0	0
StHeBC4_c10292_g0	0.27	0.85	0.98	1.78	0.84	2.22	6.39	2.32
StHeBC4_c10293_g0	0	0	0	0	0	0	0	0
StHeBC4_c10294_g0	0	0.34	0	0.18	0	0	0.15	0
StHeBC4_c10295_g0	0.14	0.21	0.14	0.32	0.2	0.07	0.1	0.16
StHeBC4_c10298_g0	0	0.35	8.35	12.71	18.17	4.82	0.11	0.05
StHeBC4_c10300_g0	0	1.03	0.06	0.09	0	0	0	0.24
StHeBC4_c10301_g0	0	0	0	0	0	0	0	0
StHeBC4_c10302_g0	0	0.49	0.36	0.71	0.57	0.39	1.36	2.38
StHeBC4_c10304_g0	0.14	1.04	2.17	2.47	0.16	0	0	0.15
StHeBC4_c10305_g0	0	0	0	0	0	0	0	0
StHeBC4_c10306_g0	0	0	0	0	0	0.11	0	0
StHeBC4_c10307_g0	0	0	0	0.05	0	0.06	0.83	86
StHeBC4_c10308_g0	0	1.22	0.17	0.8	0.55	0.13	0.1	1.12
StHeBC4_c10309_g0	0	0	0	0.58	2.23	0.71	0	0
StHeBC4_c10313_g0	0	0.35	0.12	0.36	0.26	0.15	0.22	0.18
StHeBC4_c10314_g0	0	2.18	1.26	6.66	2.92	10.5	24.63	4.67
StHeBC4_c10319_g1	0	0.11	0.14	0.01	0.15	0	0.17	0.01
StHeBC4_c10319_g2	0	0.18	0.18	1.05	2.03	0.27	0.08	0.33
StHeBC4_c10323_g0	0	0	0	0	0	0	0	0
StHeBC4_c10324_g0	0.09	0.86	0.18	0.25	0.38	0.27	0.44	0.38
StHeBC4_c10326_g0	0	0	0	0	0	0	0	0
StHeBC4_c10328_g0	0.18	0.25	0.32	0.24	0.86	0.26	0.31	0.4
StHeBC4_c10329_g0	0	0.15	0.12	0.14	0	0	0	0.26
StHeBC4_c10330_g0	8.9	4.12	5.13	5.47	3.74	7.68	5.08	3.87
StHeBC4_c10331_g0	0	0	0	0	0	0	0	2.32
StHeBC4_c10333_g0	0	0	0	0	0	0	0	0
StHeBC4_c10334_g0	0	0	0.04	0.27	0.56	0.13	0.21	1.17
StHeBC4_c10335_g0	0.36	0	0.17	0.08	0	0	0.13	0.1
StHeBC4_c10336_g0	0	0	0.2	0.49	0.14	0.09	0	0
StHeBC4_c10340_g0	0	0.58	0.82	5.3	7.41	2.86	0.39	2.85
